5 （9/10）我唯一关心的只有……帕特玛和英治怎么做爱啊！！！！！你们倒是说啊！你们倒是面对这个现实啊！！别被浪漫的爱情故事给遮住双眼了！你们说帕特玛和英治怎么上床？！！怎么到同一张床上？！脱裤子后怎么做？！！恐怕只有睡袋能解决问题吧？！！可交配时的运动不辛苦吗？！！
3 为什么所有逆世界的设定都要被用来谈！恋！爱！你们造这有多浪费想象力吗？！！！
5 十里挑一的好剧本(霓虹剧场版动画向来剧情弱 原创更甚)何况还有如此多的奇想 以及结局讽刺的反转  男猪女主的感情典型是建立在吊桥效应上的:人处于危险时心跳加速的感觉和恋爱很像 这个世界观其实交给两个男生玩更合适:男猪和男二配合时就能花样迭出 羞耻点的姿(体)势(位)也是妹子玩不来的
3 初遇浪漫得一塌糊涂，但是半小时后每十分钟狗血就要上一个数量级的节奏……设定上有《风之谷》的影子，十分适合文化研究发挥，但是细节处又十分虚弱。越发觉得不是吉浦的错，老虚一样驾驭不住反乌托邦。说到底，乌托邦和反乌托邦都是中国人的事，对日本人来说这只是一场校园恋爱而已。
3 槽点太多，我非常想说的是，贫乳实在太重要了。1.“我贫乳我自豪，我为国家省布料” 2.减轻体重，推动剧情发展 3.互相拥抱不会尴尬，简直跟男的一样。
3 前半段觉得世界观设定玄妙，后半段天上一个世界地下打穿了又有一个世界，展开仓促，徒增两个世界意义不明，没讲清楚的地方挺多的，情感渲染也不足。
3 点子不错，可惜没有继续开头部分的黑暗色彩；女主开头部分的冒险，活脱脱模仿  风之谷；之后坠落，遇见男主，这不就是 天空之城 么，看到结尾也是类似天空之城 男女携手击败坏蛋；没有天空之城生动，没有风之谷深沉，有点不伦不类。
4 1，大岛满水准依旧，主题曲直让人想起当年的03钢炼。2，是不是吉浦康裕第一次驾驭真正的剧场版？这种科幻小清新快可以接班新海诚了。3，一想到男女主角可以玩巴黎铁塔颠过来倒过去，我就不纠结他们要怎么做羞羞的事情了。4，变态（各种意义上）得这么执着的反派现在真不多见了，默默给他点根蜡烛。
2 很纯爱很SB
4 所以，世界是平的，而且还有实际意义上的平行世界？这片的设定奇葩到让人欲罢不能
3 各种反转
3 先不论治疗颈椎还是伤害颈椎，超越诚哥的陌路就是成为第二个新海诚，帕特玛与诚哥的追星星类似，似乎两位独立动画人都栽在了相同情况下，吉浦康裕无法驾驭长篇的缺点暴露无遗
4 单回长度莫不是吉浦的障碍?后半程的控制一团糟啊…"令我心亦重力倒错"便成两说.一则关于无着的危惧确实地经由情节/影像将人浸透.二则表达状态上渐而不得沾地令人焦躁.讲成的是异仍相近逆仍得存的故事,然而"天外"/"背侧"的景况与断裂的产生/维持有蒙混嫌疑地仅予立锥之地.声音剪辑需商榷.男角被玩弄啦w
4 设定很新奇 剧情较苍白
4 動畫版巴別塔的感覺
2 好多动漫里都有さかさま。实在欣赏不来现在的动画片了跟不上时代了已经。
4 （：
4 先建三观再毁三观。
1 1/10
5 很喜欢设定,脑子看的好累
4 尽管仍然是日式少女纯爱片的格调，但是就是为了如此奇葩的世界观设定也很值得一看啊。
5 设定不能更赞
5 这大破大立的世界观真是拯救了我损伤多年的颈椎（够
4 非常新颖的创意，整体很有视觉效果，不过剧情略矫情。
3 故事挺好的，成品还是 心与狗血 一并有余。
4 还是在一个好设定里瞎搞,整体仍偏软,不过能看.吉浦康裕我一直很看好.
